Auctioner,Location,Date,Year,Make,Model,Engine,HP,Transmisson,Ratio,Mileage,Repairs Cost,Transport Costs,Target Price,max bidding price,Sold For,Details,
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"188,000",,"$3,250.00","$100,000.00","$105,000.00","$96,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 188,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Balance Of Remaining Manufactures Warranty, Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Stainless Steel Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Collision Mitigation System, Climate Control System, Air Slide 5th, 229 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"247,000",,"$3,250.00","$78,000.00","$81,900.00","$92,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 247,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"232,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 232,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"260,000",,"$3,250.00","$78,000.00","$81,900.00","$82,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 260,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"218,000",,"$3,250.00","$78,000.00","$81,900.00","$92,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"258,000",,"$3,250.00","$78,000.00","$81,900.00","$82,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"283,000",,"$3,250.00","$77,000.00","$80,850.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 283,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"231,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"216,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"220,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"176,000",,"$3,250.00","$82,000.00","$86,100.00","$96,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"232,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"306,000",,"$3,250.00","$72,000.00","$75,600.00","$92,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 306,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"243,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 243,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"240,000",,"$3,250.00","$78,000.00","$81,900.00","$82,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"222,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"244,000",,"$3,250.00","$78,000.00","$81,900.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 244,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"281,000",,"$3,250.00","$75,000.00","$78,750.00","$84,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 281,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"231,000",,"$3,250.00","$78,000.00","$81,900.00","$85,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"250,000",,"$3,250.00","$78,000.00","$81,900.00","$82,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"234,000",,"$3,250.00","$78,000.00","$81,900.00","$81,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"272,000",,"$3,250.00","$75,000.00","$78,750.00","$84,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"256,000",,"$3,250.00","$75,000.00","$78,750.00","$84,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 256,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"251,000",,"$3,250.00","$75,000.00","$78,750.00","$82,000.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 251,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Deer Guard, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 239 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,FREIGHTLINER,Cascadia126,Detroit DD15 14.8 Liter,505,Automatic,2.85,"135,000",,"$3,250.00","$100,000.00","$105,000.00","$95,500.00","2024 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 135,000 Approximate Miles, ECM Not Verified, Detroit DD15 14.8 Liter Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, GPS Navigation, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Deluxe Interior, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Auxiliary Power Unit, Climate Control System, Air Slide 5th, 237 Inch Wheel Base, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Russ Hendrix - 402-720-4388",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2024,VOLVO,VNL 760,Volvo D13TC,455,Automatic,2.47,"340,000",,"$3,250.00","$65,000.00","$68,250.00","$59,000.00","2024 VOLVO VNL 760 Conventional, Upper Bunk, Volvo D13TC Engine, 455 H.P., Engine Brake, Volvo I-Shift ATO2612F Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.47 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Single Chrome Stack, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Refrigerator, Workstation, Air Slide 5th, 222 Inch Wheel Base, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Andrew Capelli - 402-281-8246",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2023,PETERBILT,579,Cummins X15,450,Automatic,2.93,"382,000",,"$3,250.00",,,"$55,000.00","2023 PETERBILT 579 Conventional, 80 Inch UltraLoft Sleeper, 382,000 Approximate Miles, ECM Not Verified, Cummins X15 Engine, 450 H.P., Engine Brake, EEO-17F112C Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.93 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 240 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Cory Benge - 402-719-0233",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2023,PETERBILT,579,Cummins X15,450,Automatic,2.93,"336,000",,"$3,250.00",,,"$60,000.00","2023 PETERBILT 579 Conventional, 80 Inch UltraLoft Sleeper, 336,000 Approximate Miles, ECM Not Verified, Cummins X15 Engine, 450 H.P., Engine Brake, EEO-17F112C Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.93 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 240 Inch Wheel Base, Disc Brakes, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Greg Burns - 402-681-7239",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2023,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.85,"231,000",,"$3,250.00","$67,000.00","$70,350.00","$77,500.00","2023 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 231,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.85 Ratio, Air Ride Suspension, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Climate Control System, Air Slide 5th, 223 Inch Wheel Base, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Mike Drobny - 402-909-3150",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2023,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.79,"466,000",,"$3,250.00","$35,000.00","$36,750.00","$53,500.00","2023 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, 466,000 Approximate Miles, ECM Not Verified, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.79 Ratio, Air Ride Suspension, GPS Navigation, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Deluxe Interior, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 233 Inch Wheel Base, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Russ Hendrix - 402-720-4388",
Taylor&Martin,"LAS VEGAS, NV",10/2/2025,2023,FREIGHTLINER,Cascadia126,Detroit DD15,505,Automatic,2.79,"494,000",,"$3,250.00","$35,000.00","$36,750.00","$54,500.00","2023 FREIGHTLINER Cascadia126 Conventional, 72 Inch Raised Roof Sleeper, Upper Bunk, Detroit DD15 Engine, 505 H.P., Engine Brake, DT12 Transmission, (Automatic), 40,000 Lb. Rear Ends, 2.79 Ratio, Air Ride Suspension, GPS Navigation, Hydraulic Power Steering, Air Conditioned, Dual Aluminum Fuel Tanks, Horizontal Exhaust, Exterior Visor, Side Fairings, Cab Extenders, Quarter Fenders, Bunk Heater, Deluxe Interior, Tilt And Telescoping Steering Wheel, Cruise Control, Power Windows, Air Slide 5th, 233 Inch Wheel Base, 22.5 Low Profile Tires, Aluminum Disc Wheels. CONTACT: Russ Hendrix - 402-720-4388",
